CO2,pressure,temperature,humidity,date_time
589,1016.79,28.19,50.37,2022-08-16T17:41:46Z
585,1016.81,28.13,49.72,2022-08-16T17:41:51Z
583,1016.83,28.07,50.42,2022-08-16T17:41:56Z
582,1016.82,28,50.74,2022-08-16T17:42:02Z
579,1016.82,27.99,51.15,2022-08-16T17:42:07Z
575,1016.81,27.92,51.1,2022-08-16T17:42:12Z
574,1016.82,27.93,51.03,2022-08-16T17:42:17Z
572,1016.82,27.93,51.12,2022-08-16T17:42:22Z
571,1016.82,27.91,50.89,2022-08-16T17:42:27Z
570,1016.81,27.9,51.13,2022-08-16T17:42:32Z
568,1016.79,27.86,51.12,2022-08-16T17:42:37Z
567,1016.82,27.79,50.9,2022-08-16T17:42:42Z
566,1016.82,27.79,50.64,2022-08-16T17:42:47Z
565,1016.81,27.78,51.33,2022-08-16T17:42:52Z
565,1016.88,27.79,51.29,2022-08-16T17:42:57Z
565,1016.85,27.8,51.08,2022-08-16T17:43:02Z
565,1016.86,27.8,51.17,2022-08-16T17:43:07Z
565,1016.84,27.82,50.71,2022-08-16T17:43:12Z
565,1016.88,27.82,50.8,2022-08-16T17:43:17Z
564,1016.82,27.8,50.34,2022-08-16T17:43:22Z
564,1016.84,27.76,50.51,2022-08-16T17:43:27Z
563,1016.86,27.73,50.47,2022-08-16T17:43:32Z
563,1016.85,27.74,50.76,2022-08-16T17:43:37Z
562,1016.91,27.75,51.1,2022-08-16T17:43:42Z
562,1016.86,27.78,50.66,2022-08-16T17:43:47Z
562,1016.86,27.77,50.63,2022-08-16T17:43:52Z
562,1016.86,27.77,50.39,2022-08-16T17:43:57Z
562,1016.83,27.74,50.38,2022-08-16T17:44:02Z
561,1016.88,27.71,50.32,2022-08-16T17:44:07Z
562,1016.86,27.69,50.43,2022-08-16T17:44:12Z
562,1016.86,27.69,50.79,2022-08-16T17:44:17Z
562,1016.82,27.64,50.87,2022-08-16T17:44:22Z
562,1016.82,27.61,50.97,2022-08-16T17:44:27Z
562,1016.8,27.61,51.33,2022-08-16T17:44:33Z
561,1016.82,27.64,51.17,2022-08-16T17:44:38Z
562,1016.82,27.64,50.79,2022-08-16T17:44:43Z
561,1016.82,27.62,50.64,2022-08-16T17:44:48Z
561,1016.8,27.64,50.65,2022-08-16T17:44:53Z
560,1016.8,27.64,50.82,2022-08-16T17:44:58Z
561,1016.8,27.64,50.78,2022-08-16T17:45:03Z
560,1016.8,27.63,50.96,2022-08-16T17:45:08Z
561,1016.8,27.61,50.99,2022-08-16T17:45:13Z
561,1016.82,27.54,51.1,2022-08-16T17:45:18Z
561,1016.81,27.54,51.57,2022-08-16T17:45:23Z
561,1016.81,27.52,51.83,2022-08-16T17:45:28Z
562,1016.81,27.53,51.23,2022-08-16T17:45:33Z
562,1016.85,27.55,51.98,2022-08-16T17:45:38Z
561,1016.84,27.56,51.66,2022-08-16T17:45:43Z
562,1016.82,27.55,51.79,2022-08-16T17:45:48Z
562,1016.83,27.51,51.9,2022-08-16T17:45:53Z
563,1016.79,27.49,51.96,2022-08-16T17:45:58Z
562,1016.81,27.48,51.99,2022-08-16T17:46:03Z
562,1016.8,27.45,52.03,2022-08-16T17:46:08Z
562,1016.83,27.44,51.6,2022-08-16T17:46:13Z
563,1016.82,27.45,51.7,2022-08-16T17:46:18Z
564,1016.84,27.42,51.38,2022-08-16T17:46:23Z
564,1016.83,27.44,51.08,2022-08-16T17:46:28Z
566,1016.83,27.47,51.45,2022-08-16T17:46:33Z
566,1016.83,27.5,51.97,2022-08-16T17:46:38Z
566,1016.85,27.49,51.6,2022-08-16T17:46:43Z
567,1016.85,27.49,52.1,2022-08-16T17:46:48Z
571,1016.85,27.45,51.95,2022-08-16T17:46:53Z
574,1016.83,27.42,52.2,2022-08-16T17:46:58Z
576,1016.87,27.39,53.14,2022-08-16T17:47:04Z
577,1016.85,27.41,52.82,2022-08-16T17:47:09Z
580,1016.86,27.38,52.55,2022-08-16T17:47:14Z
580,1016.85,27.39,52.12,2022-08-16T17:47:19Z
582,1016.86,27.38,51.7,2022-08-16T17:47:24Z
583,1016.82,27.38,51.79,2022-08-16T17:47:29Z
584,1016.82,27.36,52.23,2022-08-16T17:47:34Z
583,1016.85,27.37,52.17,2022-08-16T17:47:39Z
583,1016.88,27.39,52.17,2022-08-16T17:47:44Z
584,1016.86,27.38,51.75,2022-08-16T17:47:49Z
584,1016.94,27.4,51.73,2022-08-16T17:47:54Z
585,1016.86,27.42,51.66,2022-08-16T17:47:59Z
584,1016.88,27.4,51.94,2022-08-16T17:48:04Z
584,1016.87,27.39,51.88,2022-08-16T17:48:09Z
585,1016.9,27.4,51.75,2022-08-16T17:48:14Z
585,1016.86,27.4,51.58,2022-08-16T17:48:19Z
585,1016.86,27.34,52.18,2022-08-16T17:48:24Z
585,1016.87,27.34,52.23,2022-08-16T17:48:29Z
585,1016.9,27.38,52.24,2022-08-16T17:48:34Z
585,1016.87,27.4,52.11,2022-08-16T17:48:39Z
585,1016.87,27.36,52.15,2022-08-16T17:48:44Z
584,1016.87,27.33,52.52,2022-08-16T17:48:49Z
584,1016.87,27.35,52.27,2022-08-16T17:48:54Z
584,1016.89,27.32,51.98,2022-08-16T17:48:59Z
583,1016.91,27.32,51.7,2022-08-16T17:49:04Z
583,1016.88,27.36,52.42,2022-08-16T17:49:09Z
583,1016.89,27.41,52.37,2022-08-16T17:49:14Z
583,1016.91,27.46,52.21,2022-08-16T17:49:19Z
584,1016.91,27.5,52.49,2022-08-16T17:49:24Z
583,1016.88,27.55,51.81,2022-08-16T17:49:29Z
584,1016.87,27.6,51.75,2022-08-16T17:49:34Z
584,1016.89,27.62,51.59,2022-08-16T17:49:40Z
583,1016.85,27.61,51.52,2022-08-16T17:49:45Z
583,1016.86,27.66,51.86,2022-08-16T17:49:50Z
584,1016.84,27.68,51.5,2022-08-16T17:49:55Z
584,1016.84,27.69,51.39,2022-08-16T17:50:00Z
584,1016.83,27.73,51.68,2022-08-16T17:50:05Z
584,1016.84,27.75,51.53,2022-08-16T17:50:10Z
584,1016.81,27.74,51.27,2022-08-16T17:50:15Z
584,1016.86,27.75,51.78,2022-08-16T17:50:20Z
584,1016.84,27.76,51.31,2022-08-16T17:50:25Z
584,1016.87,27.78,51.13,2022-08-16T17:50:30Z
585,1016.82,27.81,51.04,2022-08-16T17:50:35Z
584,1016.86,27.82,50.95,2022-08-16T17:50:40Z
585,1016.86,27.85,51.46,2022-08-16T17:50:45Z
586,1016.89,27.84,50.97,2022-08-16T17:50:50Z
587,1016.92,27.86,50.68,2022-08-16T17:50:55Z
587,1016.91,27.9,51.06,2022-08-16T17:51:00Z
587,1016.91,27.9,50.69,2022-08-16T17:51:05Z
586,1016.9,27.91,50.61,2022-08-16T17:51:10Z
589,1016.9,27.92,51.44,2022-08-16T17:51:15Z
589,1016.91,27.85,50.89,2022-08-16T17:51:20Z
589,1016.89,27.85,51.08,2022-08-16T17:51:25Z
590,1016.87,27.86,50.94,2022-08-16T17:51:30Z
590,1016.86,27.87,51.19,2022-08-16T17:51:35Z
591,1016.85,27.86,51.47,2022-08-16T17:51:40Z
591,1016.87,27.89,51.41,2022-08-16T17:51:45Z
590,1016.85,27.93,51.09,2022-08-16T17:51:50Z
591,1016.85,27.98,50.69,2022-08-16T17:52:00Z
591,1016.85,27.91,50.85,2022-08-16T17:52:05Z
591,1016.85,27.92,50.83,2022-08-16T17:52:11Z
